project,platform
advancecomp,---
asn1c,GitHub Issues
bento4,GitHub Issues
cpp-peglib,GitHub Issues
dmg2img,GitHub Issues + Red Hat Bugzilla
faad2,GitHub Issues
fast_ber,GitHub Issues
faust,GitHub Issues
ffmpeg,FFmpeg Trac
fig2dev,SourceForge
giflib,SourceForge
gocr,Bugzilla + SourceForge
gpac,GitHub Issues
gravity,GitHub Issues
hcxtools,GitHub Issues
heif,GitHub Issues
jhead,---
json-c,GitHub Issues
libelfin,GitHub Issues
libgig,GitHub Issues
libiff,GitHub Issues
libjpeg,GitHub Issues
libmaxminddb,GitHub Issues
libnsfdb,GitHub Issues
libraw,GitHub Issues
libredwg,GitHub Issues
libslax,GitHub Issues
libxsmm,GitHub Issues
lief,GitHub Issues
nasm,---
ncurses,GNU Mailing List
pbrt-v3,GitHub Issues
pdftools,GitHub Issues
retdec,GitHub Issues
sela,GitHub Issues
sox,---
swftools,GitHub Issues
